出發地,目的地,飛行日期,淡旺季,飛行時間,票價,航空公司
TPE,NRT,1/3,旺,早,20893,星宇
TPE,NRT,1/2,旺,午,17201,星宇
TPE,NRT,2/15,旺,晚,18778,長榮
TPE,NRT,2/17,旺,早,26524,華航
TPE,NRT,2/28,旺,午,10674,華航
TPE,NRT,3/20,旺,早,10310,長榮
TPE,NRT,3/27,旺,午,11242,華航
TPE,NRT,3/29,旺,晚,28847,華航
TPE,NRT,4/1,旺,晚,15046,星宇
TPE,NRT,4/3,旺,早,26489,華航
TPE,NRT,4/2,旺,晚,17098,華航
TPE,NRT,3/30,旺,午,11335,華航
TPE,NRT,1/13,淡,早,9078,華航
TPE,NRT,1/14,淡,午,9908,華航
TPE,NRT,1/20,淡,晚,7981,華航
TPE,NRT,2/23,淡,早,8906,星宇
TPE,NRT,2/25,淡,午,13402,華航
TPE,NRT,2/24,淡,晚,7654,長榮
TPE,NRT,3/8,淡,午,9344,華航
TPE,NRT,3/11,淡,早,10845,星宇
TPE,NRT,3/18,淡,晚,7947,華航
TPE,NRT,4/10,淡,晚,7619,長榮
TPE,NRT,4/15,淡,早,10309,長榮
TPE,NRT,4/22,淡,午,7832,華航
NRT,TPE,1/2,旺,早,17631,華航
NRT,TPE,1/4,旺,午,10761,長榮
NRT,TPE,1/6,淡,晚,6743,星宇
NRT,TPE,1/15,淡,晚,5721,長榮
NRT,TPE,1/22,淡,午,8885,星宇
NRT,TPE,1/29,淡,早,9280,華航
NRT,TPE,1/31,旺,晚,16030,華航
NRT,TPE,2/1,旺,午,13632,長榮
NRT,TPE,2/5,旺,午,15687,星宇
NRT,TPE,2/8,旺,早,14290,華航
NRT,TPE,2/14,旺,晚,11932,長榮
NRT,TPE,2/18,旺,午,14400,華航
NRT,TPE,2/28,淡,午,9689,長榮
NRT,TPE,3/2,旺,晚,15451,星宇
NRT,TPE,3/11,淡,早,12692,華航
NRT,TPE,3/15,旺,午,8699,星宇
NRT,TPE,3/18,淡,晚,7561,長榮
NRT,TPE,3/24,淡,午,5536,華航
NRT,TPE,4/11,旺,晚,10865,星宇
NRT,TPE,4/17,淡,早,5100,華航
NRT,TPE,4/18,淡,晚,7590,長榮
NRT,TPE,4/24,淡,午,5555,華航
NRT,TPE,4/26,淡,晚,8896,星宇
NRT,TPE,4/29,淡,晚,9516,華航
